order_id,client_id,order_date,order_time,menu_item_id,quantity,discount (%),total_price ($)
900001,1126,2022-04-01,08:00:00,103,3,0,38.97
900001,1126,2022-04-01,08:00:00,140,3,0,8.97
900002,1594,2022-04-01,08:00:00,102,1,0,13.5
900002,1594,2022-04-01,08:00:00,136,1,0,3.5
900003,1864,2022-04-01,08:02:00,106,3,0,32.97
900003,1864,2022-04-01,08:02:00,121,1,0,2.99
900004,1316,2022-04-01,08:03:00,133,3,0,43.5
900004,1316,2022-04-01,08:03:00,109,3,0,11.97
900004,1316,2022-04-01,08:03:00,139,2,0,7.98
900005,1672,2022-04-01,08:04:00,114,1,0,14.99
900006,1550,2022-04-01,08:04:00,133,1,0,14.5
900006,1550,2022-04-01,08:04:00,109,1,0,3.99
900006,1550,2022-04-01,08:04:00,119,2,0,9.98
900007,1266,2022-04-01,08:06:00,134,2,0,27.0
900007,1266,2022-04-01,08:06:00,121,2,0,5.98
900008,1752,2022-04-01,08:07:00,109,3,0,11.97
900009,1944,2022-04-01,08:07:00,102,2,0,27.0
900009,1944,2022-04-01,08:07:00,113,1,0,8.99
900009,1944,2022-04-01,08:07:00,141,2,0,5.98
900010,1102,2022-04-01,08:09:00,140,2,0,5.98
900011,1697,2022-04-01,08:10:00,119,2,0,9.98
900012,1702,2022-04-01,08:12:00,102,1,0,13.5
900012,1702,2022-04-01,08:12:00,112,3,0,35.97
900012,1702,2022-04-01,08:12:00,117,1,0,6.99
900013,1579,2022-04-01,08:13:00,132,2,0,27.98
900013,1579,2022-04-01,08:13:00,113,3,0,26.97
900013,1579,2022-04-01,08:13:00,120,2,0,9.98
900014,1410,2022-04-01,08:13:00,121,2,0,5.98
900015,1313,2022-04-01,08:14:00,135,3,5,42.72
900015,1313,2022-04-01,08:14:00,109,2,0,7.98
900015,1313,2022-04-01,08:14:00,122,2,0,5.98
900016,1101,2022-04-01,08:14:00,106,1,0,10.99
900016,1101,2022-04-01,08:14:00,118,3,0,22.5
900017,1298,2022-04-01,08:18:00,119,2,0,9.98
900018,1662,2022-04-01,08:18:00,140,2,0,5.98
900019,1463,2022-04-01,08:19:00,133,3,0,43.5
900019,1463,2022-04-01,08:19:00,113,3,0,26.97
900019,1463,2022-04-01,08:19:00,138,3,0,14.97
900020,1517,2022-04-01,08:21:00,119,2,0,9.98
900021,1773,2022-04-01,08:21:00,103,3,0,38.97
900021,1773,2022-04-01,08:21:00,110,2,0,11.98
900021,1773,2022-04-01,08:21:00,137,2,0,9.0
900022,1611,2022-04-01,08:24:00,105,2,0,29.98
900022,1611,2022-04-01,08:24:00,109,1,0,3.99
900022,1611,2022-04-01,08:24:00,122,1,5,2.84
900023,1551,2022-04-01,08:24:00,105,2,10,26.98
900023,1551,2022-04-01,08:24:00,113,3,0,26.97
900023,1551,2022-04-01,08:24:00,121,1,0,2.99
900024,1380,2022-04-01,08:27:00,117,2,0,13.98
900025,1763,2022-04-01,08:28:00,132,1,10,12.59
900025,1763,2022-04-01,08:28:00,114,3,0,44.97
900025,1763,2022-04-01,08:28:00,117,1,0,6.99
900026,1645,2022-04-01,08:28:00,113,3,0,26.97
900027,1548,2022-04-01,08:29:00,132,2,0,27.98
900027,1548,2022-04-01,08:29:00,114,3,0,44.97
900027,1548,2022-04-01,08:29:00,136,2,0,7.0
900028,1955,2022-04-01,08:30:00,104,3,0,37.5
900028,1955,2022-04-01,08:30:00,109,3,0,11.97
900028,1955,2022-04-01,08:30:00,137,2,15,7.65
900029,1701,2022-04-01,08:31:00,138,1,15,4.24
900030,1892,2022-04-01,08:32:00,112,1,0,11.99
900031,1503,2022-04-01,08:33:00,131,1,0,12.99
900031,1503,2022-04-01,08:33:00,114,3,0,44.97
900031,1503,2022-04-01,08:33:00,141,3,0,8.97
900032,1407,2022-04-01,08:34:00,104,1,0,12.5
900032,1407,2022-04-01,08:34:00,114,3,0,44.97
900032,1407,2022-04-01,08:34:00,136,1,0,3.5
